party,mean_post,median_post,std_dev_post,int_l,int_r,n_muestra
pan_na,48.062651588541655,48.07355187975847,0.5168722019431702,47.04958207273304,49.07572110435027,1
pri_pvem,41.07714685970958,41.078037069146475,0.5048864429105395,40.08756943160492,42.06672428781424,1
prd,4.948400506295658,4.9376784450756785,0.28278684882646055,4.3941382825957955,5.502662729995521,1
otros,3.677731119873298,3.675703627351207,0.12780439282847805,3.427234509929481,3.928227729817115,1
pt,1.2243461976066197,1.2230997543692428,0.06929795734563728,1.0885222012091706,1.3601701940040687,1
mc,1.009723727973192,0.9714002290145435,0.19083566326329554,0.6356858279771329,1.3837616279692513,1
pan_na,48.71076751802095,48.70958363690408,0.5235330711640112,47.68464269853949,49.73689233750241,10
pri_pvem,40.962472460931124,40.95834709984084,0.5368402358100377,39.91026559874345,42.0146793231188,10
prd,4.813649879087545,4.794755237997875,0.23647883159150937,4.350151369168186,5.2771483890069035,10
otros,3.4451268694434574,3.441714983805628,0.10381430409758576,3.2416508334121894,3.6486029054747253,10
pt,1.1809852311784819,1.184053131238673,0.06793582903427094,1.0478310062713108,1.314139456085653,10
mc,0.8869980413384432,0.8709185528638266,0.10970021612926424,0.6719856177250852,1.102010464951801,10
pan_na,48.271776933043085,48.26459610377841,0.5238619679428985,47.245007475875006,49.298546390211165,100
pri_pvem,40.93609547875494,40.91635839633003,0.4965499378269297,39.962857600614164,41.90933335689572,100
prd,4.977366382936336,4.971084547543851,0.2539016377540193,4.4797191729384584,5.475013592934213,100
otros,3.727677656701035,3.7081660562780208,0.1584013525304058,3.4172110057414393,4.03814430766063,100
pt,1.1895239736423713,1.1853082324609017,0.0648686110978212,1.0623814958906417,1.3166664513941009,100
mc,0.8975595749222277,0.8847526756733247,0.10691392463768813,0.688008282632359,1.1071108672120964,100
pan_na,48.554560650444365,48.51772705624901,0.5508198533375017,47.474953737902865,49.634167562985866,11
pri_pvem,40.643223234450126,40.65629364849496,0.5288795441179406,39.60661932797896,41.67982714092129,11
prd,4.874463108710677,4.8504368348203375,0.25993603298279133,4.364988484064407,5.383937733356948,11
otros,3.6366527091002117,3.6266450729505824,0.14539222219602874,3.3516839535959955,3.921621464604428,11
pt,1.2888946841172315,1.2818506016015976,0.07402257696996838,1.1438104332560934,1.4339789349783696,11
mc,1.0022056131773815,0.9855460905034651,0.1406866241598093,0.7264598298241554,1.2779513965306077,11
pan_na,47.702972110435155,47.736411865854514,0.49960051443273085,46.723755102147,48.68218911872331,12
pri_pvem,40.95744190737042,40.974156292001595,0.47696938408198647,40.02258191456973,41.89230190017112,12
