party,mean_post,median_post,std_dev_post,int_l,int_r,n_muestra
pan_na,48.0442010820945,48.03097319849756,0.5707579602659046,46.92551547997333,49.16288668421568,1
pri_pvem,41.040061825452064,41.04134249240956,0.5426326525332944,39.9765018264868,42.103621824417324,1
prd,4.923205779465579,4.899312574385853,0.2981048710273822,4.338920232251909,5.507491326679248,1
otros,3.7168201620624184,3.7154039991376826,0.13932627213162913,3.443740668684425,3.9898996554404116,1
pt,1.223710435617384,1.2213966699596368,0.07452884371344431,1.077633901939033,1.369786969295735,1
mc,1.0520007153080517,1.0150621662352195,0.19827102310565528,0.6633895100209675,1.440611920595136,1
pan_na,48.57655171155408,48.58587435560568,0.5993085374897176,47.40190697807424,49.751196445033926,10
pri_pvem,41.12588368115044,41.17312841945963,0.6035698103225302,39.942886852918285,42.3088805093826,10
prd,4.793382978979189,4.783740433341447,0.23893106455808938,4.325078092445334,5.261687865513044,10
otros,3.449384849329703,3.454070700852037,0.11281352744129557,3.2282703355447637,3.670499363114642,10
pt,1.1699702966570684,1.1648900523916041,0.07110813584700136,1.0305983503969458,1.309342242917191,10
mc,0.8848264823295192,0.8735526385572894,0.11727582878954838,0.6549658579020043,1.114687106757034,10
pan_na,48.29663836148993,48.32046959911715,0.5928912350385087,47.134571540814456,49.45870518216541,100
pri_pvem,41.04060022328098,41.05697168496567,0.5875234892084448,39.88905418443243,42.19214626212953,100
prd,4.942964576966251,4.939235246224525,0.2551201879298929,4.44292900862366,5.443000145308841,100
otros,3.6930461191024664,3.6840227862670134,0.1910557864647299,3.3185767776315958,4.067515460573337,100
pt,1.1604127718098551,1.1612978095529691,0.0714146909591689,1.020439977529884,1.3003855660898263,100
mc,0.866337947350513,0.8585676357542528,0.09381403673236509,0.6824624353550774,1.0502134593459485,100
pan_na,48.5206151219175,48.489118228334135,0.5759853814516129,47.39168377427234,49.649546469562665,11
pri_pvem,40.68614510617515,40.69794958364511,0.5660854832603751,39.576617558984815,41.79567265336548,11
prd,4.944831182188321,4.945771089398626,0.3058127346935341,4.345438222188994,5.544224142187648,11
otros,3.6350372012821333,3.628437520531143,0.14668050650311196,3.347543408536034,3.9225309940282327,11
pt,1.2517130712621238,1.2540434031728385,0.08416725608580243,1.0867452493339511,1.4166808931902966,11
mc,0.9616583171747705,0.9349519744677643,0.14240383861085967,0.6825467934974855,1.2407698408520553,11
pan_na,47.63129570072632,47.63577184292115,0.508038222203765,46.63554078520694,48.6270506162457,12
pri_pvem,41.005162885671545,40.990966845077594,0.5092732391798998,40.00698733687894,42.00333843446415,12
prd,5.515694984154089,5.524101119268498,0.2836743878338712,4.959693183999701,6.071696784308476,12
otros,3.821334152277663,3.811259898450618,0.1787039877987937,3.4710743361920273,4.1715939683632985,12
pt,1.2213193698725615,1.2213857266934187,0.07778198716540932,1.0688666750283593,1.3737720647167637,12
mc,0.805192907297825,0.7929425473829154,0.0919114148366573,0.6250465342179767,0.9853392803776733,12
pan_na,48.00103895859061,47.99445150761093,0.5726036087883252,46.878735885365494,49.12334203181573,13
pri_pvem,41.100618232887676,41.12128946989022,0.5665958684797662,39.990090330667336,42.21114613510802,13
prd,5.298814868815935,5.275176355361663,0.313118980932421,4.685101666188389,5.9125280714434805,13
otros,3.5531817017141982,3.5488180026634493,0.12806119166439656,3.302181766051981,3.8041816373764155,13
pt,1.1428424585872743,1.1392585789570517,0.06382503966168902,1.0177453808503638,1.2679395363241848,13
mc,0.9035037794043072,0.8820866133665499,0.12976628022945205,0.6491618701545812,1.1578456886540331,13
pan_na,47.60608640425037,47.61077711404661,0.5812292516040436,46.466877071106445,48.745295737394294,14
pri_pvem,41.68843011243486,41.65994932565396,0.5496774160897288,40.61106237689899,42.765797847970724,14
prd,5.038090839195134,5.026839703874046,0.2714037783661223,4.506139433597535,5.570042244792734,14
otros,3.56706287641832,3.5623090334245844,0.12281847025088388,3.3263386747265877,3.8077870781100525,14
pt,1.2115592777761455,1.2105623261978502,0.07533857032213914,1.0638956799447528,1.3592228756075382,14
mc,0.8887704899251695,0.8601311229183932,0.15307199731761878,0.5887493751826367,1.1887916046677023,14
pan_na,47.69872793495067,47.66359439260867,0.6049607037172225,46.51300495566491,48.884450914236425,15
pri_pvem,41.247555818300775,41.25592241323959,0.5948996951411409,40.08155241582414,42.41355922077741,15
prd,5.305054644579044,5.272087417999767,0.2816571353337489,4.753006659324896,5.857102629833191,15
otros,3.553714794152184,3.5442091083838325,0.13190845175492236,3.295174228712536,3.812255359591832,15
pt,1.3240166647153244,1.3224331984516235,0.07342745184006423,1.1800988591087984,1.4679344703218504,15
mc,0.8709301433020091,0.8471982460334512,0.12810267410045284,0.6198489020651216,1.1220113845388968,15
pan_na,48.23025093935435,48.240957500732506,0.583778166408582,47.08604573319353,49.37445614551517,16
pri_pvem,41.323382371447856,41.34972726579302,0.5598008285248192,40.22617274753921,42.4205919953565,16
prd,4.767785799577155,4.753132647691955,0.24890567744632408,4.27993067178236,5.2556409273719495,16
otros,3.464913015470604,3.4588456477033556,0.1248771553313138,3.220153791021229,3.7096722399199793,16
pt,1.15667637579968,1.1532165169381954,0.07325271862930767,1.013101047286237,1.3002517043131232,16
mc,1.056991498350353,1.0057412585438086,0.22165218515332397,0.6225532154498381,1.491429781250868,16
pan_na,47.84971709357821,47.847695734342764,0.6078092655291046,46.65841093314116,49.04102325401525,17
pri_pvem,41.17970488082226,41.199201038930475,0.5941557167383444,40.0151596760151,42.34425008562941,17
prd,5.154138168775412,5.1417839325114105,0.2899288876855369,4.58587754891176,5.722398788639064,17
otros,3.6207928062550363,3.5971839058221016,0.1897870864656007,3.248810116782459,3.9927754957276136,17
pt,1.1973624555744165,1.1921654765718916,0.07086054926199888,1.0584757790208987,1.3362491321279342,17
mc,0.9982845949946693,0.9783408082430195,0.16096151850100043,0.6828000187327083,1.3137691712566302,17
pan_na,47.41476017385804,47.411922197540626,0.5332646570730718,46.36956144599482,48.459958901721265,18
pri_pvem,41.38566970150119,41.37602225369937,0.5474338031067119,40.31269944741204,42.45863995559035,18
prd,5.167584715826221,5.157501264290475,0.2766607738514387,4.625329599077402,5.709839832575041,18
otros,3.907581782756591,3.8953089059282813,0.17634108702188375,3.5619532521936987,4.253210313319483,18
pt,1.3248819835896521,1.319543818177183,0.08020973363583059,1.1676709056634242,1.48209306151588,18
mc,0.799521642468296,0.7907409316722368,0.09474130449023861,0.6138286856674284,0.9852145992691637,18
pan_na,48.17559139361014,48.21302707806292,0.5450169812158312,47.107358110427114,49.24382467679317,19
pri_pvem,40.710947166336155,40.69272500678645,0.5277267008071266,39.676602832754185,41.745291499918125,19
prd,5.151569344404392,5.121862311255201,0.2777294421306074,4.607219637828402,5.6959190509803825,19
otros,3.7628700813349583,3.7602318156935426,0.12122211544517163,3.525274735062422,4.0004654276074945,19
pt,1.3685210748583254,1.3625263515344244,0.0983947138210245,1.1756674357691175,1.5613747139475334,19
mc,0.8305009394560317,0.8180975515568157,0.08375675803690164,0.6663376937037044,0.9946641852083589,19
pan_na,48.063425739192915,48.072788472631835,0.5800725460607805,46.92648354891379,49.200367929472044,2
pri_pvem,40.79025350551516,40.772397347538394,0.5629699018950926,39.68683249780078,41.89367451322954,2
prd,5.2467509132722325,5.24539487927689,0.28890798891720265,4.680491254994515,5.81301057154995,2
otros,3.7508479764211464,3.7436499128086034,0.1701317605413853,3.417389725760031,4.084306227082261,2
pt,1.1904978301919165,1.1865489393448954,0.07207364777812718,1.0492334805467871,1.3317621798370458,2
mc,0.9582240354066272,0.9318519714579735,0.14977289413541547,0.6646691629012128,1.2517789079120414,2
pan_na,48.300190405398666,48.305206548556804,0.5450939466563561,47.23180626995221,49.368574540845124,20
pri_pvem,40.26512350079037,40.251356303206634,0.5331196113758342,39.22020906249373,41.310037939087,20
prd,5.4463478477172895,5.435623041305599,0.3001191043624307,4.858114403166925,6.034581292267654,20
otros,3.7908221059649696,3.788325029921602,0.15538206793553666,3.486273252811318,4.095370959118622,20
pt,1.2296123991138936,1.2275297989214198,0.07001557426501687,1.0923818735544606,1.3668429246733267,20
mc,0.9679037410148165,0.9432119529141654,0.1567371822926824,0.6606988637211589,1.275108618308474,20
pan_na,47.69523541783538,47.65763408322306,0.5571955944415837,46.603132052729876,48.78733878294088,21
pri_pvem,41.34575779100603,41.356600988086726,0.5509481030686972,40.26589950899138,42.42561607302068,21
prd,4.936098128239723,4.920431011019775,0.27957291897637515,4.3881352070460276,5.484061049433419,21
otros,3.7054433797417095,3.7020725594022115,0.14961632682750603,3.4121953791597974,3.9986913803236215,21
pt,1.1818064112711737,1.1812054902012366,0.06514917930388522,1.0541140198355587,1.3094988027067886,21
mc,1.1356588719059793,1.0878116507310007,0.22244482596834322,0.6996670130080265,1.571650730803932,21
pan_na,47.96478759640546,47.95886983397074,0.647771321942535,46.69515580539809,49.23441938741283,22
pri_pvem,41.09531704963382,41.10149474372105,0.618555509571589,39.882948250873504,42.30768584839414,22
prd,5.374387409721066,5.344637302828413,0.29909562818958707,4.7881599784694755,5.960614840972657,22
otros,3.6781030819284695,3.6727775240933376,0.1745209695097764,3.336041981689308,4.0201641821676315,22
pt,1.1241109400450318,1.120910545506946,0.06847522003397297,0.9898995087784448,1.2583223713116187,22
mc,0.7632939222661492,0.7524930948443207,0.08755857755028663,0.5916791102675875,0.934908734264711,22
pan_na,47.661592474988105,47.63826619642394,0.5416432390296674,46.599971726489954,48.723213223486255,23
pri_pvem,41.692819956140376,41.72786094826066,0.5317749432677908,40.6505410673355,42.73509884494525,23
prd,5.217676849709282,5.1951201419019615,0.2825772058222892,4.663825526297595,5.771528173120968,23
otros,3.559341615910912,3.556227831304807,0.1306063658409357,3.303353138862678,3.815330092959146,23
pt,1.172720776946617,1.1680786365408087,0.07126940790233237,1.0330327374580457,1.3124088164351884,23
mc,0.6958483263047064,0.6939691520069099,0.051231047848518535,0.5954354725216101,0.7962611800878027,23
pan_na,47.928270437956435,47.91449816398884,0.5252971593143134,46.89868800570038,48.95785287021249,24
pri_pvem,41.23719196485397,41.230004269123754,0.5381260189487048,40.18246496771451,42.29191896199343,24
prd,4.902434546295694,4.898108525987878,0.25015818848176474,4.412124496871436,5.392744595719953,24
otros,3.89029435197423,3.877150432188528,0.21262292929429918,3.473553410557404,4.307035293391056,24
pt,1.1703666474268848,1.1708295197095744,0.07395671475852458,1.0254114865001767,1.315321808353593,24
mc,0.8714420514927839,0.851345505181986,0.13728268553684683,0.6023679878405641,1.1405161151450036,24
pan_na,48.776093506474375,48.761449448662184,0.5293614209068833,47.738545121496884,49.813641891451866,25
pri_pvem,40.06212880410709,40.079886136337464,0.5306477902512822,39.022059135214576,41.1021984729996,25
prd,5.290956704198918,5.282162102816102,0.2867215998931889,4.728982368408268,5.852931039989569,25
otros,3.6841908212227055,3.6857440939777817,0.14152206902024012,3.406807565943035,3.961574076502376,25
