party,mean_post,median_post,std_dev_post,int_l,int_r,n_muestra
pan_na,48.045949279838204,48.02277488501005,0.5148105880193137,47.03692052732035,49.05497803235606,1
pri_pvem,41.09382097021243,41.09216470850501,0.4790850024831722,40.15481436534541,42.032827575079445,1
prd,4.960331739078032,4.958588958031637,0.27679236191109613,4.417818709732283,5.50284476842378,1
otros,3.6796759239959695,3.671865591096006,0.12911754782580345,3.426605530257395,3.9327463177345443,1
pt,1.2174271433311896,1.2154505645016997,0.06561060766018065,1.0888303523172356,1.3460239343451437,1
mc,1.00279494354418,0.9761606538445464,0.1686912005531252,0.6721601904600547,1.3334296966283055,1
pan_na,48.74573859048128,48.78356312473618,0.5332362275979595,47.70059558438928,49.79088159657328,10
pri_pvem,40.940536473882915,40.94251087684494,0.5327228572565216,39.896399673660135,41.984673274105695,10
prd,4.790952158886866,4.788619709776466,0.22227955175384748,4.355284237449325,5.226620080324407,10
otros,3.456438001200778,3.4538897303828024,0.10804623540721343,3.2446673798026398,3.6682086225989163,10
pt,1.1895070008364312,1.187842412329704,0.0678811579693734,1.0564599312164593,1.3225540704564032,10
mc,0.8768277747117282,0.8674350675715568,0.10342622337097193,0.6741123769046232,1.0795431725188331,10
pan_na,48.285905458648315,48.27526753867858,0.539304419282765,47.228868796854094,49.34294212044254,100
pri_pvem,40.94702446490754,40.977126596966116,0.5295213412713949,39.90916263601561,41.98488629379948,100
prd,4.937850130943101,4.921615469023209,0.2538205827549031,4.440361788743491,5.435338473142711,100
otros,3.7403262055182545,3.729831584930586,0.16309470534855372,3.4206605830350894,4.0599918280014196,100
pt,1.1834224579337098,1.1783199768590824,0.06276707198425417,1.0603989968445717,1.306445919022848,100
mc,0.9054712820490772,0.8911184156754293,0.11613788960692054,0.6778410184195129,1.1331015456786415,100
pan_na,48.6311006547956,48.62595098389762,0.5483708818804381,47.556293726309946,49.70590758328126,11
pri_pvem,40.58794964420943,40.6314322277991,0.5141896428370837,39.58013794424875,41.595761344170114,11
prd,4.875966449185228,4.863343410670799,0.2569490265347083,4.372346357177199,5.379586541193256,11
otros,3.618682442632939,3.620662984331745,0.1430217165958058,3.3383598781051598,3.899005007160718,11
pt,1.2821651855584082,1.276244530406204,0.07294340310718807,1.1391961154683197,1.4251342556484967,11
mc,1.0041356236183887,0.9803226145613549,0.15039454796167104,0.7093623096135135,1.2989089376232639,11
pan_na,47.692685840986016,47.70235421543854,0.5370992969248715,46.63997121901327,48.74540046295876,12
pri_pvem,40.993322681806866,40.99204527181655,0.4948450633104912,40.0234263577183,41.96321900589543,12
